,sender,receiver,message,timestamp
50,ross,joey,(mortified) hi.,1994-09-22 00:00:15
51,ross,waitress,(mortified) hi.,1994-09-22 00:00:15
52,ross,rachel,(mortified) hi.,1994-09-22 00:00:15
53,joey,ross,"this guy says hello, i wanna kill myself.",1994-09-22 00:00:16
54,monica,ross,"are you okay, sweetie?",1994-09-22 00:00:17
55,ross,chandler,"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1994-09-22 00:00:18
56,ross,phoebe,"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1994-09-22 00:00:18
57,ross,monica,"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1994-09-22 00:00:18
58,ross,joey,"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1994-09-22 00:00:18
59,ross,waitress,"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1994-09-22 00:00:18
60,ross,rachel,"i just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",1994-09-22 00:00:18
61,chandler,ross,cookie?,1994-09-22 00:00:19
62,monica,chandler,(explaining to the others) carol moved her stuff out today. (to ross) let me get you some coffee.,1994-09-22 00:00:20
63,monica,phoebe,(explaining to the others) carol moved her stuff out today. (to ross) let me get you some coffee.,1994-09-22 00:00:20
64,monica,ross,(explaining to the others) carol moved her stuff out today. (to ross) let me get you some coffee.,1994-09-22 00:00:20
65,monica,joey,(explaining to the others) carol moved her stuff out today. (to ross) let me get you some coffee.,1994-09-22 00:00:20
66,monica,waitress,(explaining to the others) carol moved her stuff out today. (to ross) let me get you some coffee.,1994-09-22 00:00:20
67,monica,rachel,(explaining to the others) carol moved her stuff out today. (to ross) let me get you some coffee.,1994-09-22 00:00:20
68,monica,ross,(explaining to the others) carol moved her stuff out today. (to ross) let me get you some coffee.,1994-09-22 00:00:20
69,phoebe,ross,ooh! oh! (starts to pluck at the air just in front of ross),1994-09-22 00:00:21
70,ross,phoebe,"no, no don't! stop cleansing my aura! no, just leave my aura alone, okay? i'll be fine, alright? really, everyone. i hope she'll be very happy.",1994-09-22 00:00:22
71,monica,ross,no you don't.,1994-09-22 00:00:23
72,ross,monica,"no i don't, to hell with her, she left me!",1994-09-22 00:00:24
73,joey,ross,and you never knew she was a lesbian...,1994-09-22 00:00:25
74,ross,chandler,"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",1994-09-22 00:00:26
75,ross,phoebe,"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",1994-09-22 00:00:26
76,ross,monica,"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",1994-09-22 00:00:26
77,ross,joey,"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",1994-09-22 00:00:26
78,ross,waitress,"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",1994-09-22 00:00:26
79,ross,rachel,"no!! okay?! why does everyone keep fixating on that? she didn't know, how should i know?",1994-09-22 00:00:26
80,chandler,phoebe,sometimes i wish i was a lesbian... (the others stare at him) did i say that out loud?,1994-09-22 00:00:27
81,chandler,monica,sometimes i wish i was a lesbian... (the others stare at him) did i say that out loud?,1994-09-22 00:00:27
82,chandler,ross,sometimes i wish i was a lesbian... (the others stare at him) did i say that out loud?,1994-09-22 00:00:27
83,chandler,joey,sometimes i wish i was a lesbian... (the others stare at him) did i say that out loud?,1994-09-22 00:00:27
84,chandler,waitress,sometimes i wish i was a lesbian... (the others stare at him) did i say that out loud?,1994-09-22 00:00:27
85,chandler,rachel,sometimes i wish i was a lesbian... (the others stare at him) did i say that out loud?,1994-09-22 00:00:27
86,joey,ross,"alright ross, look. you're feeling a lot of pain right now. you're angry. you're hurting. can i tell you what the answer is?",1994-09-22 00:00:28
87,joey,ross,"strip joint! c'mon, you're single! have some hormones!",1994-09-22 00:00:29
88,ross,chandler,"i don't want to be single, okay? i just... i just- i just wanna be married again!",1994-09-22 00:00:30
89,ross,phoebe,"i don't want to be single, okay? i just... i just- i just wanna be married again!",1994-09-22 00:00:30
90,ross,monica,"i don't want to be single, okay? i just... i just- i just wanna be married again!",1994-09-22 00:00:30
91,ross,joey,"i don't want to be single, okay? i just... i just- i just wanna be married again!",1994-09-22 00:00:30
92,ross,waitress,"i don't want to be single, okay? i just... i just- i just wanna be married again!",1994-09-22 00:00:30
93,ross,rachel,"i don't want to be single, okay? i just... i just- i just wanna be married again!",1994-09-22 00:00:30
94,chandler,phoebe,and i just want a million dollars! (extends his hand hopefully),1994-09-22 00:00:31
95,chandler,monica,and i just want a million dollars! (extends his hand hopefully),1994-09-22 00:00:31
96,chandler,ross,and i just want a million dollars! (extends his hand hopefully),1994-09-22 00:00:31
97,chandler,joey,and i just want a million dollars! (extends his hand hopefully),1994-09-22 00:00:31
98,chandler,waitress,and i just want a million dollars! (extends his hand hopefully),1994-09-22 00:00:31
99,chandler,rachel,and i just want a million dollars! (extends his hand hopefully),1994-09-22 00:00:31
100,monica,chandler,rachel?!,1994-09-22 00:00:32
101,monica,phoebe,rachel?!,1994-09-22 00:00:32
102,monica,ross,rachel?!,1994-09-22 00:00:32
103,monica,joey,rachel?!,1994-09-22 00:00:32
104,monica,waitress,rachel?!,1994-09-22 00:00:32
105,monica,rachel,rachel?!,1994-09-22 00:00:32
106,rachel,chandler,"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1994-09-22 00:00:33
107,rachel,phoebe,"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1994-09-22 00:00:33
108,rachel,monica,"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1994-09-22 00:00:33
109,rachel,ross,"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1994-09-22 00:00:33
110,rachel,joey,"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1994-09-22 00:00:33
111,rachel,waitress,"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1994-09-22 00:00:33
112,waitress,rachel,can i get you some coffee?,1994-09-22 00:00:34
113,monica,chandler,"(pointing at rachel) de-caff. (to the gang) okay, everybody, this is rachel, another lincoln high survivor. (to rachel) this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1994-09-22 00:00:35
114,monica,phoebe,"(pointing at rachel) de-caff. (to the gang) okay, everybody, this is rachel, another lincoln high survivor. (to rachel) this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1994-09-22 00:00:35
115,monica,ross,"(pointing at rachel) de-caff. (to the gang) okay, everybody, this is rachel, another lincoln high survivor. (to rachel) this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1994-09-22 00:00:35
116,monica,joey,"(pointing at rachel) de-caff. (to the gang) okay, everybody, this is rachel, another lincoln high survivor. (to rachel) this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1994-09-22 00:00:35
117,monica,waitress,"(pointing at rachel) de-caff. (to the gang) okay, everybody, this is rachel, another lincoln high survivor. (to rachel) this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1994-09-22 00:00:35
118,monica,rachel,"(pointing at rachel) de-caff. (to the gang) okay, everybody, this is rachel, another lincoln high survivor. (to rachel) this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1994-09-22 00:00:35
119,monica,rachel,"(pointing at rachel) de-caff. (to the gang) okay, everybody, this is rachel, another lincoln high survivor. (to rachel) this is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1994-09-22 00:00:35
120,rachel,monica,"hi, sure!",1994-09-22 00:00:36
121,rachel,ross,"hi, sure!",1994-09-22 00:00:36
122,ross,rachel,hi.,1994-09-22 00:00:37
123,monica,rachel,"so you wanna tell us now, or are we waiting for four wet bridesmaids?",1994-09-22 00:00:38
124,rachel,chandler,"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- (to waitress, who has brought her coffee)sweet 'n' lo?- i realised that i was more turned on by this gravy boat than by barry! and then i got really freaked out, and that's when it hit me: how much barry looks like mr. potato head. y'know, i mean, he always looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. (to monica) so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",1994-09-22 00:00:39
125,rachel,phoebe,"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- (to waitress, who has brought her coffee)sweet 'n' lo?- i realised that i was more turned on by this gravy boat than by barry! and then i got really freaked out, and that's when it hit me: how much barry looks like mr. potato head. y'know, i mean, he always looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. (to monica) so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",1994-09-22 00:00:39
126,rachel,monica,"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- (to waitress, who has brought her coffee)sweet 'n' lo?- i realised that i was more turned on by this gravy boat than by barry! and then i got really freaked out, and that's when it hit me: how much barry looks like mr. potato head. y'know, i mean, he always looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. (to monica) so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",1994-09-22 00:00:39
127,rachel,ross,"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- (to waitress, who has brought her coffee)sweet 'n' lo?- i realised that i was more turned on by this gravy boat than by barry! and then i got really freaked out, and that's when it hit me: how much barry looks like mr. potato head. y'know, i mean, he always looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. (to monica) so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",1994-09-22 00:00:39
128,rachel,joey,"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- (to waitress, who has brought her coffee)sweet 'n' lo?- i realised that i was more turned on by this gravy boat than by barry! and then i got really freaked out, and that's when it hit me: how much barry looks like mr. potato head. y'know, i mean, he always looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. (to monica) so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",1994-09-22 00:00:39
129,rachel,waitress,"oh god... well, it started about a half hour before the wedding. i was in the room where we were keeping all the presents, and i was looking at this gravy boat. this really gorgeous lamauge gravy boat. when all of a sudden- (to waitress, who has brought her coffee)sweet 'n' lo?- i realised that i was more turned on by this gravy boat than by barry! and then i got really freaked out, and that's when it hit me: how much barry looks like mr. potato head. y'know, i mean, he always looked familiar, but... anyway, i just had to get out of there, and i started wondering 'why am i doing this, and who am i doing this for?'. (to monica) so anyway i just didn't know where to go, and i know that you and i have kinda drifted apart, but you're the only person i knew who lived here in the city.",1994-09-22 00:00:39
130,monica,rachel,who wasn't invited to the wedding.,1994-09-22 00:00:40
131,rachel,monica,"ooh, i was kinda hoping that wouldn't be an issue...",1994-09-22 00:00:41
132,monica,chandler,"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1994-09-22 00:00:42
133,monica,phoebe,"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1994-09-22 00:00:42
134,monica,ross,"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1994-09-22 00:00:42
135,monica,joey,"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1994-09-22 00:00:42
136,monica,rachel,"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1994-09-22 00:00:42
137,monica,paul,"now i'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1994-09-22 00:00:42
138,rachel,rachel's father,"(on phone) daddy, i just... i can't marry him! i'm sorry. i just don't love him. well, it matters to me!",1994-09-22 00:00:43
139,chandler,phoebe,"(re tv) ooh, she should not be wearing those pants.",1994-09-22 00:00:44
140,chandler,monica,"(re tv) ooh, she should not be wearing those pants.",1994-09-22 00:00:44
141,chandler,ross,"(re tv) ooh, she should not be wearing those pants.",1994-09-22 00:00:44
142,chandler,joey,"(re tv) ooh, she should not be wearing those pants.",1994-09-22 00:00:44
143,chandler,rachel,"(re tv) ooh, she should not be wearing those pants.",1994-09-22 00:00:44
144,chandler,paul,"(re tv) ooh, she should not be wearing those pants.",1994-09-22 00:00:44
145,joey,chandler,i say push her down the stairs.,1994-09-22 00:00:45
146,joey,phoebe,i say push her down the stairs.,1994-09-22 00:00:45
147,joey,monica,i say push her down the stairs.,1994-09-22 00:00:45
148,joey,ross,i say push her down the stairs.,1994-09-22 00:00:45
149,joey,rachel,i say push her down the stairs.,1994-09-22 00:00:45
150,joey,paul,i say push her down the stairs.,1994-09-22 00:00:45
151,phoebe,monica,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
152,phoebe,rachel,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
153,phoebe,paul,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
154,ross,monica,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
155,ross,rachel,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
156,ross,paul,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
157,chandler,monica,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
158,chandler,rachel,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
159,chandler,paul,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
160,joey,monica,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
161,joey,rachel,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
162,joey,paul,push her down the stairs! push her down the stairs! push her down the stairs! (she is pushed down the stairs. they cheer),1994-09-22 00:00:46
163,rachel,rachel's father,"c'mon daddy, listen to me! all of my life, everyone has always told me, 'you're a shoe! you're a shoe, you're a shoe, you're a shoe!'. and today i just stopped and i said, 'what if i don't wanna be a shoe? what if i wanna be a- a purse, y'know? or a- or a hat! no, i'm not saying i want you to buy me a hat, i'm saying i am a ha- it's a metaphor, daddy!",1994-09-22 00:00:47
164,ross,chandler,you can see where he'd have trouble.,1994-09-22 00:00:48
165,ross,phoebe,you can see where he'd have trouble.,1994-09-22 00:00:48
166,ross,monica,you can see where he'd have trouble.,1994-09-22 00:00:48
167,ross,joey,you can see where he'd have trouble.,1994-09-22 00:00:48
168,ross,rachel,you can see where he'd have trouble.,1994-09-22 00:00:48
169,ross,paul,you can see where he'd have trouble.,1994-09-22 00:00:48
170,rachel,rachel's father,"look daddy, it's my life. well maybe i'll just stay here with monica.",1994-09-22 00:00:49
171,monica,chandler,"well, i guess we've established who's staying here with monica...",1994-09-22 00:00:50
172,monica,phoebe,"well, i guess we've established who's staying here with monica...",1994-09-22 00:00:50
173,monica,ross,"well, i guess we've established who's staying here with monica...",1994-09-22 00:00:50
174,monica,joey,"well, i guess we've established who's staying here with monica...",1994-09-22 00:00:50
175,monica,rachel,"well, i guess we've established who's staying here with monica...",1994-09-22 00:00:50
176,monica,paul,"well, i guess we've established who's staying here with monica...",1994-09-22 00:00:50
177,rachel,rachel's father,"well, maybe that's my decision. well, maybe i don't need your money. wait!! wait, i said maybe!!",1994-09-22 00:00:51
178,monica,rachel,"just breathe, breathe.. that's it. just try to think of nice calm things...",1994-09-22 00:00:52
179,phoebe,chandler,"(sings) raindrops on roses and rabbits and kittens, (rachel and monica turn to look at her)..bluebells and sleighbells and- something with mittens... la la la la...",1994-09-22 00:00:53
180,phoebe,monica,"(sings) raindrops on roses and rabbits and kittens, (rachel and monica turn to look at her)..bluebells and sleighbells and- something with mittens... la la la la...",1994-09-22 00:00:53
181,phoebe,ross,"(sings) raindrops on roses and rabbits and kittens, (rachel and monica turn to look at her)..bluebells and sleighbells and- something with mittens... la la la la...",1994-09-22 00:00:53
182,phoebe,joey,"(sings) raindrops on roses and rabbits and kittens, (rachel and monica turn to look at her)..bluebells and sleighbells and- something with mittens... la la la la...",1994-09-22 00:00:53
183,phoebe,rachel,"(sings) raindrops on roses and rabbits and kittens, (rachel and monica turn to look at her)..bluebells and sleighbells and- something with mittens... la la la la...",1994-09-22 00:00:53
184,phoebe,paul,"(sings) raindrops on roses and rabbits and kittens, (rachel and monica turn to look at her)..bluebells and sleighbells and- something with mittens... la la la la...",1994-09-22 00:00:53
185,rachel,chandler,i'm all better now.,1994-09-22 00:00:54
186,rachel,phoebe,i'm all better now.,1994-09-22 00:00:54
187,rachel,monica,i'm all better now.,1994-09-22 00:00:54
188,rachel,ross,i'm all better now.,1994-09-22 00:00:54
189,rachel,joey,i'm all better now.,1994-09-22 00:00:54
190,rachel,paul,i'm all better now.,1994-09-22 00:00:54
191,phoebe,chandler,(grins and walks to kitchen. to chandler and joey) i helped!,1994-09-22 00:00:55
192,phoebe,joey,(grins and walks to kitchen. to chandler and joey) i helped!,1994-09-22 00:00:55
193,monica,rachel,"okay, look, this is probably for the best, y'know? independence. taking control of your life.",1994-09-22 00:00:56
194,joey,rachel,"(sitting beside her) and hey, you need anything, you can always come to joey. me and chandler live across the hall. and he's away a lot.",1994-09-22 00:00:57
195,monica,joey,"joey, stop hitting on her! it's her wedding day!",1994-09-22 00:00:58
196,joey,monica,"what, like there's a rule or something?",1994-09-22 00:00:59
197,chandler,phoebe,"please don't do that again, it's a horrible sound.",1994-09-22 00:01:00
198,paul,monica,"(over intercom) it's, uh, it's paul.",1994-09-22 00:01:01
199,monica,chandler,buzz him in!,1994-09-22 00:01:02
200,monica,phoebe,buzz him in!,1994-09-22 00:01:02
201,monica,ross,buzz him in!,1994-09-22 00:01:02
202,monica,joey,buzz him in!,1994-09-22 00:01:02
203,monica,rachel,buzz him in!,1994-09-22 00:01:02
204,monica,paul,buzz him in!,1994-09-22 00:01:02
205,joey,chandler,who's paul?,1994-09-22 00:01:03
206,joey,phoebe,who's paul?,1994-09-22 00:01:03
207,joey,monica,who's paul?,1994-09-22 00:01:03
208,joey,ross,who's paul?,1994-09-22 00:01:03
209,joey,rachel,who's paul?,1994-09-22 00:01:03
210,joey,paul,who's paul?,1994-09-22 00:01:03
211,ross,chandler,"paul the wine guy, paul?",1994-09-22 00:01:04
212,ross,phoebe,"paul the wine guy, paul?",1994-09-22 00:01:04
213,ross,monica,"paul the wine guy, paul?",1994-09-22 00:01:04
214,ross,joey,"paul the wine guy, paul?",1994-09-22 00:01:04
215,ross,rachel,"paul the wine guy, paul?",1994-09-22 00:01:04
216,ross,paul,"paul the wine guy, paul?",1994-09-22 00:01:04
217,monica,chandler,maybe.,1994-09-22 00:01:05
218,monica,phoebe,maybe.,1994-09-22 00:01:05
219,monica,ross,maybe.,1994-09-22 00:01:05
220,monica,joey,maybe.,1994-09-22 00:01:05
221,monica,rachel,maybe.,1994-09-22 00:01:05
222,monica,paul,maybe.,1994-09-22 00:01:05
223,joey,monica,wait. your 'not a real date' tonight is with paul the wine guy?,1994-09-22 00:01:06
224,ross,monica,he finally asked you out?,1994-09-22 00:01:07
225,monica,chandler,yes!,1994-09-22 00:01:08
226,monica,phoebe,yes!,1994-09-22 00:01:08
227,monica,ross,yes!,1994-09-22 00:01:08
228,monica,joey,yes!,1994-09-22 00:01:08
229,monica,rachel,yes!,1994-09-22 00:01:08
230,monica,paul,yes!,1994-09-22 00:01:08
231,chandler,phoebe,"ooh, this is a dear diary moment.",1994-09-22 00:01:09
232,chandler,monica,"ooh, this is a dear diary moment.",1994-09-22 00:01:09
233,chandler,ross,"ooh, this is a dear diary moment.",1994-09-22 00:01:09
234,chandler,joey,"ooh, this is a dear diary moment.",1994-09-22 00:01:09
235,chandler,rachel,"ooh, this is a dear diary moment.",1994-09-22 00:01:09
236,chandler,paul,"ooh, this is a dear diary moment.",1994-09-22 00:01:09
237,monica,rachel,"rach, wait, i can cancel...",1994-09-22 00:01:10
238,rachel,monica,"please, no, go, that'd be fine!",1994-09-22 00:01:11
239,monica,ross,"(to ross) are, are you okay? i mean, do you want me to stay?",1994-09-22 00:01:12
240,ross,monica,(choked voice) that'd be good...,1994-09-22 00:01:13
241,monica,ross,(horrified) really?,1994-09-22 00:01:14
242,ross,monica,"(normal voice) no, go on! it's paul the wine guy!",1994-09-22 00:01:15
243,monica,paul,"hi, come in! paul, this is.. (they are all lined up next to the door)... everybody, everybody, this is paul.",1994-09-22 00:01:16
244,monica,chandler,"hi, come in! paul, this is.. (they are all lined up next to the door)... everybody, everybody, this is paul.",1994-09-22 00:01:16
245,monica,phoebe,"hi, come in! paul, this is.. (they are all lined up next to the door)... everybody, everybody, this is paul.",1994-09-22 00:01:16
246,monica,ross,"hi, come in! paul, this is.. (they are all lined up next to the door)... everybody, everybody, this is paul.",1994-09-22 00:01:16
247,monica,joey,"hi, come in! paul, this is.. (they are all lined up next to the door)... everybody, everybody, this is paul.",1994-09-22 00:01:16
248,monica,rachel,"hi, come in! paul, this is.. (they are all lined up next to the door)... everybody, everybody, this is paul.",1994-09-22 00:01:16
249,monica,paul,"hi, come in! paul, this is.. (they are all lined up next to the door)... everybody, everybody, this is paul.",1994-09-22 00:01:16
250,chandler,paul,hey! paul! hi! the wine guy! hey!,1994-09-22 00:01:17
251,phoebe,paul,hey! paul! hi! the wine guy! hey!,1994-09-22 00:01:17
252,monica,paul,hey! paul! hi! the wine guy! hey!,1994-09-22 00:01:17
253,ross,paul,hey! paul! hi! the wine guy! hey!,1994-09-22 00:01:17
254,joey,paul,hey! paul! hi! the wine guy! hey!,1994-09-22 00:01:17
255,rachel,paul,hey! paul! hi! the wine guy! hey!,1994-09-22 00:01:17
256,chandler,paul,"i'm sorry, i didn't catch your name. paul, was it?",1994-09-22 00:01:18
257,monica,paul,(shows paul in) two seconds.,1994-09-22 00:01:19
258,phoebe,chandler,"ooh, i just pulled out four eyelashes. that can't be good.",1994-09-22 00:01:20
259,phoebe,monica,"ooh, i just pulled out four eyelashes. that can't be good.",1994-09-22 00:01:20
